;;;;;;;;;SCA;SCA;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;GCA;GCA;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG;Matches
22;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;es La Liga;23;1996;23.3;23;0.99;18;1;2;0;2;0;3;0.13;3;0;0;0;0;0;0;Matches
23;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;it Serie A;17;2002;0.8;2;2.65;2;0;0;0;0;0;1;1.32;1;0;0;0;0;0;0;Matches
24;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Fiorentina;it Serie A;20;1998;0.7;6;8.44;4;0;2;0;0;0;1;1.41;1;0;0;0;0;0;0;Matches
25;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;it Serie A;20;1998;7.4;31;4.19;21;0;5;0;1;4;2;0.27;1;0;0;0;0;1;0;Matches
26;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;fr Ligue 1;23;1996;10.6;3;0.28;3;0;0;0;0;0;1;0.09;1;0;0;0;0;0;0;Matches
27;Sergio Agüero\Sergio-Aguero;ar ARG;FW;Manchester City;eng Premier League;31;1988;16.1;51;3.16;28;0;9;9;5;0;8;0.50;4;0;1;2;1;0;0;Matches
28;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;fr Ligue 1;26;1993;11.9;24;2.01;22;0;0;0;1;1;3;0.25;3;0;0;0;0;0;0;Matches
29;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;MFFW;Hellas Verona;it Serie A;28;1990;2.6;3;1.17;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
30;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;fr Ligue 1;25;1994;7.0;12;1.71;7;0;1;0;1;3;1;0.14;0;0;0;0;0;1;0;Matches
31;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;es La Liga;23;1995;27.8;13;0.47;9;1;1;2;0;0;2;0.07;2;0;0;0;0;0;0;Matches
32;Ola Aina\Ola-Aina;ng NGA;DF;Torino;it Serie A;22;1996;23.1;46;1.99;25;11;4;0;5;1;7;0.30;3;2;0;0;2;0;0;Matches
33;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;fr Ligue 1;23;1996;6.0;8;1.34;8;0;0;0;0;0;2;0.34;2;0;0;0;0;0;0;Matches
34;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;fr Ligue 1;18;2001;14.2;22;1.54;17;3;0;0;1;1;4;0.28;4;0;0;0;0;0;0;Matches
35;Albian Ajeti\Albian-Ajeti;ch SUI;MFFW;West Ham;eng Premier League;22;1997;1.5;2;1.29;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
36;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;fr Ligue 1;25;1994;22.9;36;1.57;27;0;3;3;2;1;10;0.44;6;0;1;1;2;0;0;Matches
37;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;de Bundesliga;24;1995;25.7;10;0.39;9;1;0;0;0;0;3;0.12;3;0;0;0;0;0;0;Matches
38;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;fr Ligue 1;18;2001;1.1;4;3.64;3;0;1;0;0;0;1;0.91;1;0;0;0;0;0;0;Matches
39;Nathan Aké\Nathan-Ake;nl NED;DF;Bournemouth;eng Premier League;24;1995;27.8;13;0.47;7;0;1;4;1;0;2;0.07;1;0;0;1;0;0;0;Matches
40;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;fr Ligue 1;24;1995;6.0;17;2.81;9;0;2;2;1;3;4;0.66;1;0;1;1;0;1;0;Matches
41;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;24;1995;12.7;4;0.32;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
42;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;de Bundesliga;27;1992;27.8;38;1.37;33;2;1;2;0;0;2;0.07;1;1;0;0;0;0;0;Matches
43;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;fr Ligue 1;21;1998;15.6;25;1.61;22;1;1;0;1;0;3;0.19;3;0;0;0;0;0;0;Matches
44;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;de Bundesliga;26;1992;13.0;30;2.30;21;0;2;7;0;0;3;0.23;1;0;0;2;0;0;0;Matches
45;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;es La Liga;30;1989;24.3;45;1.85;44;1;0;0;0;0;5;0.21;5;0;0;0;0;0;0;Matches
46;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;it Serie A;26;1992;34.6;206;5.96;135;37;16;12;2;3;29;0.84;22;2;0;2;1;1;1;Matches
47;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;es La Liga;33;1985;36.0;16;0.44;16;0;0;0;0;0;1;0.03;1;0;0;0;0;0;0;Matches
48;Marc Albrighton\Marc-Albrighton;eng ENG;MFDF;Leicester City;eng Premier League;29;1989;9.6;26;2.70;22;2;1;1;0;0;5;0.52;5;0;0;0;0;0;0;Matches
49;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;es La Liga;25;1993;10.3;16;1.56;14;0;0;1;1;0;3;0.29;2;0;0;0;1;0;0;Matches
50;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;de Bundesliga;25;1993;5.9;14;2.38;10;1;2;0;1;0;3;0.51;2;1;0;0;0;0;0;Matches
51;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;de Bundesliga;28;1991;19.7;57;2.90;44;5;3;3;1;1;8;0.41;6;0;2;0;0;0;0;Matches
52;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;es La Liga;28;1991;21.4;44;2.06;24;6;5;4;5;0;4;0.19;4;0;0;0;0;0;0;Matches
53;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;Tottenham;eng Premier League;30;1989;32.9;21;0.64;18;0;0;1;0;2;3;0.09;2;0;0;0;0;1;0;Matches
54;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;fr Ligue 1;28;1991;21.3;27;1.27;23;3;0;0;0;1;3;0.14;3;0;0;0;0;0;0;Matches
55;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;es La Liga;26;1992;1.2;1;0.83;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
56;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;es La Liga;21;1998;1.9;2;1.05;2;0;0;0;0;0;1;0.52;1;0;0;0;0;0;0;Matches
57;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;es La Liga;21;1998;8.2;13;1.59;13;0;0;0;0;0;1;0.12;1;0;0;0;0;0;0;Matches
58;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;fr Ligue 1;24;1995;10.0;3;0.30;1;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
59;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;eng Premier League;20;1998;35.3;152;4.31;91;50;3;5;1;1;24;0.68;14;7;0;2;0;0;1;Matches
60;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;it Serie A;31;1988;3.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
61;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;fr Ligue 1;27;1992;17.4;39;2.25;30;0;4;3;2;0;2;0.12;2;0;0;0;0;0;0;Matches
62;Alisson\Alisson;br BRA;GK;Liverpool;eng Premier League;26;1992;28.3;4;0.14;4;0;0;0;0;0;1;0.04;1;0;0;0;0;0;0;Matches
63;Allan\Allan;br BRA;MF;Napoli;it Serie A;28;1991;14.2;41;2.88;36;0;4;0;0;1;3;0.21;3;0;0;0;0;0;0;Matches
64;Dele Alli\Dele-Alli;eng ENG;MFFW;Tottenham;eng Premier League;23;1996;20.5;54;2.63;39;1;9;2;2;1;12;0.58;5;0;5;2;0;0;0;Matches
65;Miguel Almirón\Miguel-Almiron;py PAR;MFFW;Newcastle Utd;eng Premier League;25;1994;33.6;80;2.38;58;0;7;5;7;3;2;0.06;2;0;0;0;0;0;0;Matches
66;Marcos Alonso\Marcos-Alonso;es ESP;DF;Chelsea;eng Premier League;28;1990;15.9;47;2.96;36;5;1;2;3;0;6;0.38;4;0;0;0;2;0;0;Matches
67;Mickaël Alphonse\Mickael-Alphonse;GPE;DF;Dijon;fr Ligue 1;30;1989;15.3;17;1.11;12;4;0;0;1;0;3;0.20;2;1;0;0;0;0;0;Matches
68;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;es La Liga;27;1992;12.7;12;0.94;10;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;Matches
69;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;es La Liga;32;1986;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
70;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Club;es La Liga;24;1995;31.2;19;0.61;17;0;0;0;1;1;1;0.03;1;0;0;0;0;0;0;Matches
71;Bruno Alves\Bruno-Alves;pt POR;DF;Parma;it Serie A;37;1981;29.7;15;0.51;11;1;0;2;0;1;0;0.00;0;0;0;0;0;0;0;Matches
72;Steven Alzate\Steven-Alzate;co COL;MFDF;Brighton;eng Premier League;20;1998;13.2;30;2.27;22;0;5;2;1;0;1;0.08;0;0;0;0;1;0;0;Matches
