;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
2333;Salvatore Sirigu\Salvatore-Sirigu;it ITA;GK;Torino;it Serie A;32;1987;36.0;0;0;0;0;0;0;0;;0;2;0;0.0;2;0;0;0;0;0;0;0;0;1;0;Matches
2334;Ibrahima Sissoko\Ibrahima-Sissoko;fr FRA;MF;Strasbourg;fr Ligue 1;21;1997;17.8;50;35;20;22;8;12;50;24.0;38;392;111;28.3;135;193;64;22;5;0;17;24;74;35;0;Matches
2335;Moussa Sissoko\Moussa-Sissoko;fr FRA;MF;Tottenham;eng Premier League;29;1989;27.2;56;35;36;19;1;20;50;40.0;30;437;126;28.8;219;167;51;38;5;0;33;22;78;48;0;Matches
2336;Sambou Sissoko\Sambou-Sissoko;fr FRA;MFFW;Reims;fr Ligue 1;20;1999;0.4;0;0;0;0;0;0;0;;0;12;3;25.0;7;4;1;0;0;0;0;1;1;3;0;Matches
2337;Pione Sisto\Pione-Sisto;dk DEN;FWMF;Celta Vigo;es La Liga;24;1995;9.9;18;10;8;8;2;5;18;27.8;13;161;51;31.7;49;72;40;18;0;0;18;3;21;5;0;Matches
2338;Antonio Sivera\Antonio-Sivera;es ESP;GK;Alavés;es La Liga;22;1996;3.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
2339;Ellyes Skhiri\Ellyes-Skhiri;tn TUN;MF;Köln;de Bundesliga;24;1995;29.7;73;49;35;31;7;22;76;28.9;54;713;221;31.0;241;388;84;73;10;0;63;38;111;50;0;Matches
2340;Oliver Skipp\Oliver-Skipp;eng ENG;MFDF;Tottenham;eng Premier League;18;2000;0.9;3;2;1;2;0;1;2;50.0;1;31;6;19.4;14;14;3;3;1;0;2;0;3;0;0;Matches
2341;?ukasz Skorupski\Lukasz-Skorupski;pl POL;GK;Bologna;it Serie A;28;1991;37.0;1;0;1;0;0;0;0;;0;6;2;33.3;6;0;0;0;0;0;0;0;1;1;3;Matches
2342;Andreas Skov Olsen\Andreas-Skov-Olsen;dk DEN;FWMF;Bologna;it Serie A;19;1999;8.4;13;7;6;6;1;5;17;29.4;12;215;47;21.9;50;97;68;14;1;0;13;4;17;12;0;Matches
2343;Robert Skov\Robert-Skov;dk DEN;DFFW;Hoffenheim;de Bundesliga;23;1996;29.0;47;30;34;11;2;26;55;47.3;29;292;93;31.8;101;119;72;45;7;2;38;18;65;41;1;Matches
2344;Simon Skrabb\Simon-Skrabb;fi FIN;MFFW;Brescia;it Serie A;24;1995;2.9;7;4;2;3;2;4;10;40.0;6;72;18;25.0;17;29;26;8;1;0;7;0;7;2;0;Matches
2345;Milan Škriniar\Milan-Skriniar;sk SVK;DF;Inter;it Serie A;24;1995;29.2;47;29;28;17;2;15;38;39.5;23;291;82;28.2;153;115;23;32;13;1;19;18;65;96;0;Matches
2346;Steven Skrzybski\Steven-Skrzybski;de GER;FWMF;Düsseldorf;de Bundesliga;26;1992;5.9;6;3;0;5;1;3;16;18.8;13;167;55;32.9;30;82;55;13;2;0;11;8;14;3;0;Matches
2347;Petar Škuleti?\Petar-Skuletic;rs SRB;FW;Montpellier;fr Ligue 1;29;1990;1.2;3;0;1;1;1;1;3;33.3;2;20;4;20.0;0;13;7;1;0;0;1;0;3;1;0;Matches
2348;Islam Slimani\Islam-Slimani;dz ALG;FW;Monaco;fr Ligue 1;31;1988;14.3;10;7;0;4;6;3;13;23.1;10;208;54;26.0;7;84;117;7;1;0;6;2;12;8;0;Matches
2349;William Smallbone\William-Smallbone;ie IRL;MF;Southampton;eng Premier League;19;2000;4.4;12;8;3;8;1;4;12;33.3;8;72;27;37.5;13;30;29;10;1;0;9;1;13;3;0;Matches
2350;Chris Smalling\Chris-Smalling;eng ENG;DF;Roma;it Serie A;29;1989;28.5;36;23;22;13;1;9;12;75.0;3;187;62;33.2;103;74;10;60;39;2;21;23;59;166;3;Matches
2351;Dennis Smarsch\Dennis-Smarsch;de GER;GK;Hertha BSC;de Bundesliga;20;1999;1.7;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
2352;Adam Smith\Adam-Smith;eng ENG;DF;Bournemouth;eng Premier League;28;1991;22.8;52;30;32;15;5;24;55;43.6;31;406;111;27.3;183;154;69;56;6;1;50;23;75;53;0;Matches
2353;Emile Smith-Rowe\Emile-Smith-Rowe;eng ENG;MF;Arsenal;eng Premier League;19;2000;1.1;1;1;1;0;0;1;3;33.3;2;22;7;31.8;6;10;6;1;0;0;1;1;2;3;0;Matches
2354;Fyodor Smolov\Fyodor-Smolov;ru RUS;FW;Celta Vigo;es La Liga;29;1990;8.3;2;1;0;2;0;1;9;11.1;8;139;32;23.0;17;60;62;10;0;0;10;5;7;6;0;Matches
2355;Robert Snodgrass\Robert-Snodgrass;sco SCO;MFFW;West Ham;eng Premier League;31;1987;16.8;27;10;17;9;1;10;40;25.0;30;367;90;24.5;118;185;64;21;2;0;19;1;28;16;0;Matches
2356;Cédric Soares\Cedric-Soares;pt POR;DF;Arsenal;eng Premier League;27;1991;2.8;6;5;2;4;0;2;5;40.0;3;55;15;27.3;23;26;6;10;0;0;10;3;9;2;0;Matches
2357;Cédric Soares\Cedric-Soares;pt POR;DF;Southampton;eng Premier League;27;1991;14.5;46;24;22;21;3;18;38;47.4;20;298;92;30.9;145;113;40;37;4;0;33;16;62;59;0;Matches
2358;Rafa Soares\Rafa-Soares;pt POR;DFMF;Eibar;es La Liga;24;1995;4.8;5;2;4;0;1;1;11;9.1;10;55;16;29.1;19;24;12;7;0;0;7;2;7;11;0;Matches
2359;Lasse Sobiech\Lasse-Sobiech;de GER;DF;Köln;de Bundesliga;28;1991;1.0;1;0;0;1;0;0;0;;0;15;5;33.3;8;7;0;1;0;0;1;2;3;11;0;Matches
2360;Marcel Sobottka\Marcel-Sobottka;de GER;MF;Düsseldorf;de Bundesliga;25;1994;7.8;17;12;5;9;3;3;13;23.1;10;144;34;23.6;55;75;14;4;1;0;3;9;26;11;0;Matches
2361;Rubén Sobrino\Ruben-Sobrino;es ESP;FWMF;Valencia;es La Liga;27;1992;1.9;6;4;2;3;1;1;4;25.0;3;60;14;23.3;17;28;15;3;0;0;3;1;7;1;0;Matches
2362;Dominic Solanke\Dominic-Solanke;eng ENG;FWMF;Bournemouth;eng Premier League;21;1997;18.3;11;10;2;9;0;3;27;11.1;24;641;151;23.6;84;319;238;19;5;0;14;7;18;21;0;Matches
2363;Roberto Soldado\Roberto-Soldado;es ESP;FW;Granada;es La Liga;34;1985;26.1;16;7;2;7;7;4;18;22.2;14;364;98;26.9;21;157;186;16;5;0;11;7;23;17;0;Matches
2364;Carlos Soler\Carlos-Soler;es ESP;MF;Valencia;es La Liga;22;1997;23.0;28;17;9;16;3;10;40;25.0;30;430;112;26.0;130;197;103;30;5;0;25;5;33;17;0;Matches
2365;Oumar Solet\Oumar-Solet;fr FRA;DF;Lyon;fr Ligue 1;19;2000;0.1;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;1;1;0;0;0;0;1;0;Matches
2366;Yann Sommer\Yann-Sommer;ch SUI;GK;M'Gladbach;de Bundesliga;30;1988;34.0;0;0;0;0;0;0;1;0.0;1;2;0;0.0;2;0;0;0;0;0;0;1;1;1;3;Matches
2367;Kévin Soni\Kevin-Soni;cm CMR;FW;Espanyol;es La Liga;21;1998;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
2368;David Soria\David-Soria;es ESP;GK;Getafe;es La Liga;26;1993;38.0;0;0;0;0;0;0;2;0.0;2;3;0;0.0;3;0;0;0;0;0;0;0;0;5;0;Matches
2369;Bruno Soriano\Bruno-Soriano;es ESP;MF;Villarreal;es La Liga;35;1984;2.9;5;4;1;3;1;2;2;100.0;0;40;10;25.0;20;17;3;7;0;0;7;1;6;6;0;Matches
2370;Juan Soriano\Juan-Soriano;es ESP;GK;Leganés;es La Liga;21;1997;11.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;Matches
2371;Roberto Soriano\Roberto-Soriano;it ITA;MF;Bologna;it Serie A;28;1991;27.4;52;37;15;28;9;17;55;30.9;38;455;134;29.5;94;237;124;31;2;0;29;10;62;20;1;Matches
2372;Riccardo Sottil\Riccardo-Sottil;it ITA;FWDF;Fiorentina;it Serie A;20;1999;5.7;5;3;4;1;0;3;11;27.3;8;72;12;16.7;22;29;21;9;1;0;8;0;5;0;0;Matches
2373;Tomáš Sou?ek\Tomas-Soucek;cz CZE;MF;West Ham;eng Premier League;24;1995;11.6;35;25;15;17;3;5;19;26.3;14;240;77;32.1;96;102;42;16;3;0;13;15;50;38;0;Matches
2374;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;Genoa;it Serie A;27;1992;7.1;6;5;4;2;0;2;3;66.7;1;48;17;35.4;33;15;0;13;9;0;4;3;9;45;0;Matches
2375;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;Lille;fr Ligue 1;27;1992;4.6;3;2;1;2;0;0;0;;0;32;10;31.3;19;12;1;10;6;0;4;3;6;24;0;Matches
2376;Boubakary Soumaré\Boubakary-Soumare;fr FRA;MF;Lille;fr Ligue 1;20;1999;13.5;22;17;8;14;0;10;28;35.7;18;233;72;30.9;76;138;19;17;0;0;17;13;35;10;0;Matches
2377;Bryan Soumaré\Bryan-Soumare;fr FRA;MFFW;Dijon;fr Ligue 1;20;1999;4.3;10;7;5;5;0;6;11;54.5;5;77;25;32.5;19;39;19;2;0;0;2;2;12;1;0;Matches
2378;Arnaud Souquet\Arnaud-Souquet;fr FRA;DF;Montpellier;fr Ligue 1;27;1992;22.4;57;28;39;12;6;28;74;37.8;46;433;111;25.6;185;172;76;43;6;1;37;13;70;63;0;Matches
2379;Djibril Sow\Djibril-Sow;ch SUI;MF;Eint Frankfurt;de Bundesliga;22;1997;19.4;62;39;27;25;10;13;50;26.0;37;497;154;31.0;166;251;80;26;3;1;23;22;84;31;0;Matches
2380;Ça?lar Söyüncü\Caglar-Soyuncu;tr TUR;DF;Leicester City;eng Premier League;23;1996;33.7;73;47;49;23;1;29;55;52.7;26;298;119;39.9;188;103;7;49;19;2;30;26;99;222;1;Matches
2381;Nikolas Špalek\Nikolas-Spalek;sk SVK;MFFW;Brescia;it Serie A;22;1997;17.5;21;14;6;11;4;5;33;15.2;28;497;116;23.3;116;239;142;23;0;0;23;6;27;10;0;Matches
2382;Leonardo Spinazzola\Leonardo-Spinazzola;it ITA;DF;Roma;it Serie A;26;1993;17.2;18;10;9;7;2;11;27;40.7;16;203;62;30.5;89;71;43;34;5;0;29;8;26;44;1;Matches
2383;Marco Sportiello\Marco-Sportiello;it ITA;GK;Atalanta;it Serie A;27;1992;5.8;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
2384;Mattia Sprocati\Mattia-Sprocati;it ITA;FW;Parma;it Serie A;26;1993;6.6;4;3;4;0;0;0;4;0.0;4;92;31;33.7;33;40;19;10;1;0;9;2;6;2;0;Matches
2385;Bassem Srarfi\Bassem-Srarfi;tn TUN;FWDF;Nice;fr Ligue 1;22;1997;1.5;0;0;0;0;0;0;2;0.0;2;23;2;8.7;4;9;10;1;0;0;1;1;1;0;0;Matches
2386;Dennis Srbeny\Dennis-Srbeny;de GER;MFFW;Norwich City;eng Premier League;25;1994;0.5;5;4;3;2;0;1;3;33.3;2;20;9;45.0;4;9;7;0;0;0;0;0;5;1;0;Matches
2387;Dennis Srbeny\Dennis-Srbeny;de GER;FWMF;Paderborn 07;de Bundesliga;25;1994;12.4;14;10;3;8;3;4;14;28.6;10;305;81;26.6;29;134;142;14;2;0;12;2;16;8;0;Matches
2388;Jerry St. Juste\Jerry-St-Juste;nl NED;DF;Mainz 05;de Bundesliga;22;1996;23.5;53;36;35;17;1;14;36;38.9;22;342;124;36.3;197;130;15;49;18;0;31;37;90;130;2;Matches
2389;Jack Stacey\Jack-Stacey;eng ENG;DF;Bournemouth;eng Premier League;23;1996;17.2;21;13;13;5;3;5;21;23.8;16;241;62;25.7;116;80;45;41;9;0;32;14;35;53;1;Matches
2390;Kostas Stafylidis\Kostas-Stafylidis;gr GRE;DF;Hoffenheim;de Bundesliga;25;1993;4.4;7;0;5;2;0;3;4;75.0;1;41;7;17.1;25;14;2;15;2;0;13;6;13;11;0;Matches
2391;Benjamin Stambouli\Benjamin-Stambouli;fr FRA;DF;Schalke 04;de Bundesliga;28;1990;9.0;28;21;13;12;3;9;24;37.5;15;131;49;37.4;72;54;5;20;8;0;12;17;45;45;0;Matches
2392;Junior Stanislas\Junior-Stanislas;eng ENG;MFDF;Bournemouth;eng Premier League;29;1989;7.9;10;6;2;2;6;4;9;44.4;5;107;34;31.8;32;41;34;9;0;0;9;1;11;2;0;Matches
2393;Niklas Stark\Niklas-Stark;de GER;DF;Hertha BSC;de Bundesliga;24;1995;19.2;39;24;29;9;1;11;28;39.3;17;272;73;26.8;141;123;8;34;12;0;22;15;54;136;1;Matches
2394;Jed Steer\Jed-Steer;eng ENG;GK;Aston Villa;eng Premier League;26;1992;0.1;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
2395;Renato Steffen\Renato-Steffen;ch SUI;MFFW;Wolfsburg;de Bundesliga;27;1991;17.6;27;17;9;12;6;8;37;21.6;29;397;121;30.5;94;188;115;32;2;0;30;19;46;17;0;Matches
2396;Zack Steffen\Zack-Steffen;us USA;GK;Düsseldorf;de Bundesliga;24;1995;17.0;0;0;0;0;0;0;0;;0;4;0;0.0;4;0;0;0;0;0;0;1;1;3;1;Matches
2397;Dale Stephens\Dale-Stephens;eng ENG;MF;Brighton;eng Premier League;30;1989;28.1;76;40;33;34;9;21;71;29.6;50;465;150;32.3;208;222;35;43;13;1;30;39;115;46;3;Matches
2398;Jack Stephens\Jack-Stephens;eng ENG;DF;Southampton;eng Premier League;25;1994;27.2;56;35;41;14;1;21;49;42.9;28;223;78;35.0;145;70;8;60;26;0;34;18;74;183;2;Matches
2399;Mariusz St?pi?ski\Mariusz-Stepinski;pl POL;FW;Hellas Verona;it Serie A;24;1995;7.8;6;4;1;3;2;0;2;0.0;2;138;38;27.5;12;56;70;6;1;0;5;1;7;8;0;Matches
2400;Raheem Sterling\Raheem-Sterling;eng ENG;FW;Manchester City;eng Premier League;24;1994;29.5;41;29;8;19;14;10;33;30.3;23;412;132;32.0;67;178;167;25;3;0;22;10;51;8;0;Matches
2401;Enda Stevens\Enda-Stevens;ie IRL;DF;Sheffield Utd;eng Premier League;29;1990;37.2;76;43;43;25;8;24;74;32.4;50;606;161;26.6;279;222;105;76;6;0;70;24;100;90;2;Matches
2402;Marco Stiepermann\Marco-Stiepermann;de GER;MF;Norwich City;eng Premier League;28;1991;13.1;18;7;9;7;2;6;22;27.3;16;257;53;20.6;47;133;77;15;4;0;11;3;21;16;0;Matches
2403;Lars Stindl\Lars-Stindl;de GER;MFFW;M'Gladbach;de Bundesliga;30;1988;15.9;37;25;6;24;7;9;33;27.3;24;378;108;28.6;35;204;139;25;4;0;21;8;45;6;0;Matches
2404;Kevin Stöger\Kevin-Stoger;at AUT;MF;Düsseldorf;de Bundesliga;25;1993;14.1;26;20;13;8;5;12;37;32.4;25;264;87;33.0;78;135;51;31;2;0;29;20;46;7;0;Matches
2405;Vlatko Stojanovski\Vlatko-Stojanovski;mk MKD;FW;Nîmes;fr Ligue 1;22;1997;1.4;2;2;0;2;0;0;0;;0;19;7;36.8;4;2;13;0;0;0;0;1;3;1;0;Matches
2406;John Stones\John-Stones;eng ENG;DF;Manchester City;eng Premier League;25;1994;12.5;19;12;10;7;2;4;8;50.0;4;90;39;43.3;47;38;5;15;3;0;12;2;21;38;1;Matches
2407;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;Lazio;it Serie A;24;1995;38.0;0;0;0;0;0;0;1;0.0;1;4;0;0.0;4;0;0;2;1;0;1;0;0;1;2;Matches
2408;Tobias Strobl\Tobias-Strobl;de GER;MFDF;M'Gladbach;de Bundesliga;29;1990;6.8;18;14;9;5;4;4;11;36.4;7;124;39;31.5;52;61;11;10;4;0;6;8;26;6;2;Matches
2409;Christian Strohdiek\Christian-Strohdiek;de GER;DF;Paderborn 07;de Bundesliga;31;1988;15.1;28;15;21;7;0;15;41;36.6;26;136;36;26.5;97;37;2;30;11;0;19;13;41;119;1;Matches
2410;Kevin Strootman\Kevin-Strootman;nl NED;MF;Marseille;fr Ligue 1;29;1990;15.7;45;27;16;21;8;18;50;36.0;32;294;88;29.9;85;168;41;31;3;0;28;11;56;35;0;Matches
2411;Jens Stryger Larsen\Jens-Stryger-Larsen;dk DEN;DF;Udinese;it Serie A;28;1991;31.0;39;22;24;11;4;19;37;51.4;18;336;85;25.3;161;113;62;38;6;0;32;15;54;50;0;Matches
2412;Stefano Sturaro\Stefano-Sturaro;it ITA;MF;Genoa;it Serie A;26;1993;13.9;35;26;11;17;7;9;38;23.7;29;285;86;30.2;104;133;48;27;4;0;23;10;45;30;0;Matches
2413;Damián Suárez\Damian-Suarez;uy URU;DF;Getafe;es La Liga;31;1988;28.8;69;49;33;28;8;36;78;46.2;42;493;154;31.2;203;221;69;45;1;0;44;14;83;82;0;Matches
2414;Denis Suárez\Denis-Suarez;es ESP;MFFW;Celta Vigo;es La Liga;25;1994;18.1;25;16;14;10;1;9;35;25.7;26;314;77;24.5;107;155;52;19;0;0;19;11;36;7;0;Matches
2415;Luis Suárez\Luis-Suarez;uy URU;FW;Barcelona;es La Liga;32;1987;22.2;3;2;0;2;1;0;8;0.0;8;191;48;25.1;9;88;94;13;1;0;12;1;4;6;0;Matches
2416;Mathías Suárez\Mathias-Suarez;uy URU;DF;Montpellier;fr Ligue 1;23;1996;0.7;2;2;2;0;0;2;3;66.7;1;11;2;18.2;5;5;1;2;0;0;2;1;3;2;0;Matches
2417;Neven Suboti?\Neven-Subotic;rs SRB;DF;Union Berlin;de Bundesliga;30;1988;21.8;39;22;22;14;3;6;35;17.1;29;250;93;37.2;137;100;13;35;9;0;26;25;64;141;0;Matches
2418;Isaac Success\Isaac-Success;ng NGA;FWMF;Watford;eng Premier League;23;1996;0.8;0;0;0;0;0;0;0;;0;14;2;14.3;0;3;11;0;0;0;0;1;1;0;0;Matches
2419;Marek Suchý\Marek-Suchy;cz CZE;DF;Augsburg;de Bundesliga;31;1988;4.4;8;4;7;1;0;4;6;66.7;2;18;8;44.4;13;5;0;3;2;0;1;4;12;22;0;Matches
2420;Niklas Süle\Niklas-Sule;de GER;DF;Bayern Munich;de Bundesliga;23;1995;7.1;9;4;7;2;0;3;5;60.0;2;45;16;35.6;29;15;1;13;8;0;5;5;14;31;0;Matches
2421;Ki Sung-yueng\Ki-Sung-yueng;kr KOR;MF;Mallorca;es La Liga;30;1989;0.1;0;0;0;0;0;0;0;;0;4;1;25.0;2;2;0;1;0;0;1;0;0;0;0;Matches
2422;Ki Sung-yueng\Ki-Sung-yueng;kr KOR;MF;Newcastle Utd;eng Premier League;30;1989;1.5;1;1;1;0;0;0;2;0.0;2;39;4;10.3;21;15;3;1;0;0;1;3;4;3;0;Matches
2423;Stoppila Sunzu\Stoppila-Sunzu;zm ZAM;DF;Metz;fr Ligue 1;30;1989;15.0;21;12;17;4;0;6;16;37.5;10;122;33;27.0;89;32;1;27;15;0;12;15;36;91;0;Matches
2424;Andrew Surman\Andrew-Surman;eng ENG;MF;Bournemouth;eng Premier League;32;1986;2.6;5;2;2;3;0;3;4;75.0;1;45;11;24.4;19;20;6;4;0;0;4;1;6;6;0;Matches
2425;Sam Surridge\Sam-Surridge;eng ENG;FW;Bournemouth;eng Premier League;21;1998;0.3;0;0;0;0;0;0;0;;0;16;3;18.8;0;7;9;1;0;0;1;1;1;0;0;Matches
2426;Suso\Suso;es ESP;FWMF;Sevilla;es La Liga;25;1993;8.7;7;2;4;2;1;5;15;33.3;10;83;26;31.3;26;48;9;4;0;0;4;1;8;2;0;Matches
2427;Suso\Suso;es ESP;FWMF;Milan;it Serie A;25;1993;15.1;17;14;5;10;2;3;15;20.0;12;206;45;21.8;44;88;74;11;0;0;11;6;23;3;0;Matches
2428;Bosko Sutalo\Bosko-Sutalo;hr CRO;DF;Atalanta;it Serie A;19;2000;3.1;3;2;1;1;1;0;1;0.0;1;43;11;25.6;15;22;6;4;0;0;4;4;7;9;1;Matches
2429;Markus Suttner\Markus-Suttner;at AUT;DFMF;Düsseldorf;de Bundesliga;32;1987;14.9;28;17;13;14;1;10;25;40.0;15;214;60;28.0;96;85;33;40;7;2;33;8;36;44;1;Matches
2430;Mattias Svanberg\Mattias-Svanberg;se SWE;MF;Bologna;it Serie A;20;1999;11.7;17;14;9;5;3;4;31;12.9;27;268;56;20.9;75;144;49;22;5;0;17;9;26;14;0;Matches
2431;Issiaga Sylla\Issiaga-Sylla;gn GUI;DF;Toulouse;fr Ligue 1;25;1994;28.0;74;51;43;24;7;35;76;46.1;41;409;127;31.1;207;151;51;87;10;1;77;46;120;117;2;Matches
2432;Moussa Sylla\Moussa-Sylla;fr FRA;FW;Monaco;fr Ligue 1;19;1999;0.1;0;0;0;0;0;0;0;;0;2;0;0.0;0;2;0;0;0;0;0;0;0;0;0;Matches
2433;Eddy Sylvestre\Eddy-Sylvestre;fr FRA;MF;Nice;fr Ligue 1;19;1999;0.4;0;0;0;0;0;0;0;;0;5;1;20.0;2;2;1;0;0;0;0;0;0;0;0;Matches
2434;Ádám Szalai\Adam-Szalai;hu HUN;FW;Mainz 05;de Bundesliga;31;1987;12.7;7;4;0;6;1;1;7;14.3;6;221;57;25.8;18;104;99;11;2;0;9;4;11;14;0;Matches
2435;Wojciech Szcz?sny\Wojciech-Szczesny;pl POL;GK;Juventus;it Serie A;29;1990;28.8;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;2;3;Matches
2436;Andrea Tabanelli\Andrea-Tabanelli;it ITA;MF;Lecce;it Serie A;29;1990;10.7;18;12;7;8;3;8;30;26.7;22;206;47;22.8;93;74;39;20;4;0;16;11;29;18;1;Matches
2437;Tachi\Tachi;es ESP;DF;Alavés;es La Liga;21;1997;2.6;2;1;2;0;0;1;4;25.0;3;24;6;25.0;17;6;1;9;4;0;5;2;4;16;0;Matches
2438;Panagiotis Tachtsidis\Panagiotis-Tachtsidis;gr GRE;MF;Lecce;it Serie A;28;1991;22.3;61;44;32;20;9;29;71;40.8;42;437;127;29.1;194;198;45;40;12;0;28;25;86;43;1;Matches
2439;Jonathan Tah\Jonathan-Tah;de GER;DF;Leverkusen;de Bundesliga;23;1996;23.2;39;18;26;10;3;11;27;40.7;16;240;82;34.2;139;84;17;45;17;1;28;28;67;146;3;Matches
2440;Flavien Tait\Flavien-Tait;fr FRA;MFFW;Rennes;fr Ligue 1;26;1993;9.8;23;14;12;5;6;6;29;20.7;23;213;56;26.3;57;91;65;10;0;0;10;5;28;7;0;Matches
2441;Mahdi Talal\Mahdi-Talal;fr FRA;FW;Amiens;fr Ligue 1;21;1997;0.2;0;0;0;0;0;0;3;0.0;3;12;3;25.0;6;3;3;3;0;0;3;0;0;1;0;Matches
2442;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Nice;fr Ligue 1;25;1994;5.8;10;7;6;2;2;5;15;33.3;10;141;31;22.0;40;66;35;9;2;0;7;5;15;3;2;Matches
2443;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Atalanta;it Serie A;25;1994;2.3;4;3;2;1;1;0;6;0.0;6;52;16;30.8;14;32;6;5;1;0;4;1;5;3;0;Matches
2444;Japhet Tanganga\Japhet-Tanganga;eng ENG;DF;Tottenham;eng Premier League;20;1999;5.8;20;15;14;5;1;9;19;47.4;10;95;30;31.6;52;38;5;12;5;1;7;9;29;33;1;Matches
2445;Adil Taoui\Adil-Taoui;fr FRA;MF;Toulouse;fr Ligue 1;17;2001;0.3;0;2;0;0;0;0;0;;0;3;0;0.0;0;2;1;0;0;0;0;0;0;0;0;Matches
2446;Edmond Tapsoba\Edmond-Tapsoba;bf BFA;DF;Leverkusen;de Bundesliga;20;1999;11.8;30;19;22;6;2;14;24;58.3;10;128;42;32.8;76;46;6;23;6;0;17;3;33;67;0;Matches
2447;Matt Targett\Matt-Targett;eng ENG;DF;Aston Villa;eng Premier League;23;1995;25.5;57;33;38;16;3;20;56;35.7;36;372;109;29.3;184;145;43;68;9;0;59;21;78;88;1;Matches
2448;Rodrigo Tarín\Rodrigo-Tarin;es ESP;DF;Leganés;es La Liga;23;1996;10.6;11;7;8;2;1;8;15;53.3;7;72;25;34.7;52;15;5;10;2;0;8;1;12;87;0;Matches
2449;James Tarkowski\James-Tarkowski;eng ENG;DF;Burnley;eng Premier League;26;1992;38.0;76;51;54;22;0;25;50;50.0;25;313;100;31.9;217;84;12;85;46;0;39;43;119;329;1;Matches
2450;Ciprian T?t?ru?anu\Ciprian-Tatarusanu;ro ROU;GK;Lyon;fr Ligue 1;33;1986;2.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;Matches
2451;Júlio Tavares\Julio-Tavares;cv CPV;FW;Dijon;fr Ligue 1;30;1988;22.2;10;7;3;4;3;1;13;7.7;12;357;88;24.6;18;154;185;12;1;0;11;5;15;30;0;Matches
2452;Charlie Taylor\Charlie-Taylor;eng ENG;DF;Burnley;eng Premier League;25;1993;21.6;43;16;26;14;3;17;43;39.5;26;224;65;29.0;117;79;28;60;7;0;53;13;56;106;1;Matches
2453;Neil Taylor\Neil-Taylor;wal WAL;DF;Aston Villa;eng Premier League;30;1989;12.1;20;10;15;5;0;10;22;45.5;12;121;33;27.3;61;53;7;38;5;0;33;11;31;32;0;Matches
2454;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Bordeaux;fr Ligue 1;19;2000;12.3;21;18;10;8;3;4;19;21.1;15;221;76;34.4;75;122;24;21;6;0;15;21;42;15;0;Matches
2455;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Monaco;fr Ligue 1;19;2000;0.7;0;0;0;0;0;0;3;0.0;3;9;2;22.2;5;3;1;0;0;0;0;0;0;3;1;Matches
2456;Georg Teigl\Georg-Teigl;at AUT;DFMF;Augsburg;de Bundesliga;28;1991;1.2;0;0;0;0;0;0;4;0.0;4;18;5;27.8;12;6;0;4;0;0;4;2;2;3;0;Matches
2457;Álvaro Tejero\Alvaro-Tejero;es ESP;DF;Eibar;es La Liga;23;1996;16.1;30;12;17;10;3;15;27;55.6;12;191;51;26.7;85;86;20;33;1;0;32;15;45;63;0;Matches
2458;Bernard Tekpetey\Bernard-Tekpetey;gh GHA;FWMF;Düsseldorf;de Bundesliga;21;1997;5.0;6;6;3;1;2;1;4;25.0;3;100;31;31.0;14;45;41;5;0;0;5;2;8;1;0;Matches
2459;Nathan Tella\Nathan-Tella;eng ENG;FW;Southampton;eng Premier League;20;1999;0.0;0;0;0;0;0;0;0;;0;2;0;0.0;0;1;1;0;0;0;0;0;0;0;0;Matches
2460;Cristian Tello\Cristian-Tello;es ESP;MFFW;Betis;es La Liga;27;1991;8.7;10;7;3;4;3;4;11;36.4;7;102;28;27.5;31;42;29;7;0;0;7;5;15;3;0;Matches
