;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
242;Andrea Belotti\Andrea-Belotti;it ITA;FW;Torino;it Serie A;25;1993;33.4;34;26;13;11;10;6;41;14.6;35;459;104;22.7;54;190;215;26;6;0;20;10;44;18;1;Matches
243;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;es La Liga;20;1999;20.3;34;24;14;14;6;7;27;25.9;20;358;110;30.7;115;193;50;19;1;0;18;11;45;21;0;Matches
244;Sami Ben Amar\Sami-Ben-Amar;ma MAR;FW;Nîmes;fr Ligue 1;21;1998;0.2;1;0;0;0;1;0;0;;0;5;3;60.0;3;1;1;1;0;0;1;1;2;1;0;Matches
245;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MFFW;Valladolid;es La Liga;32;1987;1.8;0;0;0;0;0;0;3;0.0;3;37;8;21.6;6;21;10;1;0;0;1;0;0;0;0;Matches
246;Wissam Ben Yedder\Wissam-Ben-Yedder;fr FRA;FW;Monaco;fr Ligue 1;28;1990;24.0;19;15;3;11;5;6;20;30.0;14;456;124;27.2;24;183;249;19;0;0;19;6;25;2;0;Matches
247;Marco Benassi\Marco-Benassi;it ITA;MF;Fiorentina;it Serie A;24;1994;10.9;17;10;10;3;4;10;31;32.3;21;226;50;22.1;49;101;76;19;2;0;17;4;21;13;0;Matches
248;Cristian Benavente\Cristian-Benavente;pe PER;MFFW;Nantes;fr Ligue 1;25;1994;3.9;12;8;3;6;3;3;9;33.3;6;98;27;27.6;11;58;29;2;0;0;2;2;14;1;0;Matches
249;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;de Bundesliga;30;1989;15.3;48;32;23;22;3;16;37;43.2;21;297;106;35.7;116;140;41;43;8;0;35;18;66;36;0;Matches
250;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;de Bundesliga;30;1989;30.3;71;44;37;28;6;27;55;49.1;28;336;137;40.8;161;154;21;60;15;0;45;49;120;169;3;Matches
251;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Marseille;fr Ligue 1;33;1986;23.3;16;14;0;11;5;5;23;21.7;18;336;84;25.0;7;132;197;19;7;0;12;4;20;20;0;Matches
252;László Bénes\Laszlo-Benes;sk SVK;MF;M'Gladbach;de Bundesliga;21;1997;10.0;11;9;5;2;4;6;17;35.3;11;189;57;30.2;45;92;52;16;2;0;14;13;24;11;0;Matches
253;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;fr Ligue 1;26;1993;26.0;0;0;0;0;0;0;2;0.0;2;4;1;25.0;4;0;0;0;0;0;0;0;0;0;0;Matches
254;Loris Benito\Loris-Benito;ch SUI;DF;Bordeaux;fr Ligue 1;27;1992;21.1;45;29;27;13;5;19;47;40.4;28;306;96;31.4;120;130;56;32;7;0;25;16;61;66;0;Matches
255;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MFFW;Saint-Étienne;fr Ligue 1;18;2001;1.5;6;5;1;3;2;2;5;40.0;3;36;14;38.9;6;24;6;1;0;0;1;0;6;1;0;Matches
256;Ismaël Bennacer\Ismael-Bennacer;dz ALG;MF;Milan;it Serie A;21;1997;27.6;91;60;30;50;11;27;65;41.5;38;587;176;30.0;182;330;75;39;9;0;30;46;137;19;2;Matches
257;Ryan Bennett\Ryan-Bennett;eng ENG;DF;Wolves;eng Premier League;29;1990;6.7;4;3;4;0;0;2;7;28.6;5;61;15;24.6;41;19;1;15;7;0;8;6;10;45;1;Matches
258;Ryan Bennett\Ryan-Bennett;eng ENG;DF;Leicester City;eng Premier League;29;1990;3.7;5;2;2;3;0;4;6;66.7;2;35;7;20.0;14;19;2;3;1;0;2;3;8;15;0;Matches
259;Keanen Bennetts\Keanen-Bennetts;eng ENG;MF;M'Gladbach;de Bundesliga;20;1999;0.0;0;0;0;0;0;0;1;0.0;1;1;0;0.0;0;0;1;0;0;0;0;0;0;0;0;Matches
260;Yassine Benrahou\Yassine-Benrahou;fr FRA;FWMF;Bordeaux;fr Ligue 1;20;1999;1.9;6;4;0;5;1;1;3;33.3;2;46;14;30.4;4;33;9;1;0;0;1;3;9;3;0;Matches
261;Yassine Benrahou\Yassine-Benrahou;fr FRA;MFFW;Nîmes;fr Ligue 1;20;1999;8.5;9;5;2;3;4;3;17;17.6;14;150;53;35.3;23;60;67;7;0;0;7;3;12;2;0;Matches
262;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'Gladbach;de Bundesliga;24;1995;16.1;34;17;17;14;3;14;32;43.8;18;209;56;26.8;90;82;37;51;6;1;45;30;64;55;1;Matches
263;Nabil Bentaleb\Nabil-Bentaleb;dz ALG;MF;Newcastle Utd;eng Premier League;24;1994;8.3;30;23;20;10;0;9;25;36.0;16;177;60;33.9;72;95;10;14;2;0;12;10;40;12;0;Matches
264;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;Juventus;it Serie A;22;1997;24.4;77;49;31;29;17;28;66;42.4;38;576;160;27.8;153;294;129;58;6;0;52;25;102;34;0;Matches
265;Christian Benteke\Christian-Benteke;be BEL;FW;Crystal Palace;eng Premier League;28;1990;14.0;9;5;0;6;3;1;8;12.5;7;178;49;27.5;4;70;104;14;6;0;8;6;15;25;0;Matches
266;Romario Benzar\Romario-Benzar;ro ROU;DF;Lecce;it Serie A;27;1992;1.1;2;2;1;1;0;2;3;66.7;1;10;2;20.0;6;4;0;1;0;0;1;0;2;5;0;Matches
267;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;es La Liga;31;1987;34.9;17;13;2;9;6;7;25;28.0;18;319;83;26.0;23;135;161;16;3;0;13;11;28;25;1;Matches
268;Yassine Benzia\Yassine-Benzia;dz ALG;MF;Dijon;fr Ligue 1;24;1994;1.9;3;2;1;2;0;1;3;33.3;2;52;8;15.4;10;33;9;3;1;0;2;3;6;0;0;Matches
