,Player,Nation,Age,Squad,Comp,Rk,Min,Gls,Ast,xG,npxG,xA,GCA,Def_GCA,Drib_GCA,Fld_GCA,OG_GCA,PassDead_GCA,PassLive_GCA,Sh_GCA,SCA,Def_SCA,Drib_SCA,Fld_SCA,PassDead_SCA,PassLive_SCA,Sh_SCA,Blocks,Press,Succ_Press,Tkl,TklW,Int,Tkl+Int,Clr,Att_Pass,Cmp_Pass,TotPrgDist_Pass,#Prog_Pass,TotPrgDist_Carried,TotDist_Carried,Oppon_Drib,Att_Drib,Recep,Att_Recep,Live_Touches,played_two_leagues
1442,Faitout Maouassa,FRA,21,Rennes,Ligue 1,1536,1803,3,1,0.5,0.5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,5.0,4.0,0.0,18.0,0.0,38.0,256.0,70.0,59.0,29,15,74,77.0,996.0,760.0,5228.0,64.0,3312.0,5141.0,30.0,52.0,724.0,794.0,1076.0,False
1443,Fernando Marcal,BRA,30,Lyon,Ligue 1,1537,829,0,1,0.1,0.1,1.3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,0.0,1.0,14.0,1.0,20.0,127.0,56.0,32.0,17,14,46,34.0,752.0,620.0,3973.0,54.0,1849.0,3171.0,9.0,13.0,537.0,556.0,780.0,False
1444,Marcelo,BRA,31,Real Madrid,La Liga,1538,1296,1,2,0.5,0.5,2.1,7.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,50.0,0.0,2.0,2.0,0.0,45.0,1.0,21.0,137.0,45.0,20.0,12,15,35,21.0,1071.0,882.0,5665.0,107.0,2597.0,4155.0,10.0,13.0,871.0,946.0,1087.0,False
1445,Marcelo,BRA,32,Lyon,Ligue 1,1539,1503,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,7.0,0.0,24.0,108.0,41.0,32.0,16,17,49,112.0,1133.0,987.0,6567.0,71.0,2478.0,4529.0,0.0,1.0,905.0,918.0,1296.0,False
1446,Solly March,ENG,25,Brighton, Premier League,1540,1143,0,1,1.4,1.4,0.8,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,3.0,2.0,3.0,24.0,0.0,22.0,158.0,44.0,26.0,17,12,38,19.0,601.0,435.0,2332.0,43.0,2175.0,3773.0,19.0,30.0,484.0,585.0,675.0,False
1447,Gian Marco Ferrari,ITA,27,Sassuolo,Serie A,1541,1897,0,1,1.7,1.7,0.9,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,1.0,0.0,21.0,1.0,34.0,100.0,31.0,12.0,9,20,32,52.0,1462.0,1369.0,8918.0,75.0,5046.0,7884.0,4.0,4.0,1273.0,1290.0,1561.0,False
1448,Oscar de Marcos,ESP,30,Athletic Club,La Liga,1542,541,0,1,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,4.0,7.0,0.0,13.0,72.0,11.0,5.0,0,4,9,8.0,228.0,168.0,1031.0,19.0,502.0,935.0,2.0,4.0,164.0,217.0,242.0,False
1449,Dario Maresic,AUT,19,Reims,Ligue 1,1543,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0,1,1,7.0,64.0,53.0,374.0,6.0,210.0,349.0,0.0,0.0,55.0,55.0,72.0,False
1450,Miguel Mari,ESP,22,Eibar,La Liga,1544,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0,0,1,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,5.0,False
1451,Pablo Mari,ESP,25,Arsenal, Premier League,1545,113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,3.0,1,2,5,14.0,91.0,81.0,362.0,4.0,335.0,503.0,0.0,0.0,81.0,82.0,110.0,False
1452,Jose Maria Gimenez,URU,24,Atlético Madrid,La Liga,1546,1755,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,8.0,0.0,25.0,98.0,31.0,24.0,11,9,33,122.0,853.0,753.0,5684.0,43.0,1625.0,2920.0,1.0,1.0,622.0,635.0,987.0,False
1453,Mariano,DOM,25,Real Madrid,La Liga,1547,45,1,0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,0.0,0,0,0,0.0,15.0,11.0,26.0,0.0,73.0,92.0,2.0,2.0,15.0,31.0,21.0,False
1454,Adrian Mariappa,JAM,32,Watford, Premier League,1548,1513,0,0,0.3,0.3,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0,197.0,57.0,25.0,12,7,32,93.0,585.0,426.0,3772.0,37.0,434.0,1048.0,2.0,3.0,330.0,346.0,628.0,False
1455,Jordan Marie,FRA,27,Dijon,Ligue 1,1549,201,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,78.0,31.0,6.0,5,5,11,3.0,111.0,84.0,496.0,7.0,175.0,384.0,3.0,4.0,87.0,101.0,134.0,False
1456,Federico Marigosu,ITA,18,Cagliari,Serie A,1550,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0.0,15.0,8.0,62.0,0.0,40.0,92.0,0.0,0.0,17.0,21.0,18.0,False
1457,Adrian Marin,ESP,22,Alavés,La Liga,1551,852,0,0,0.6,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,8.0,1.0,23.0,87.0,22.0,19.0,6,10,29,33.0,355.0,253.0,2482.0,39.0,793.0,1238.0,10.0,22.0,207.0,224.0,368.0,False
1458,Marlon,BRA,23,Sassuolo,Serie A,1554,1818,0,0,0.9,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,15.0,0.0,37.0,219.0,59.0,43.0,20,20,63,84.0,1447.0,1370.0,9053.0,64.0,4225.0,7084.0,6.0,6.0,1259.0,1271.0,1608.0,False
1459,Omar Marmoush,EGY,20,Wolfsburg,Bundesliga,1555,81,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,4.0,0.0,0,0,0,2.0,16.0,10.0,18.0,1.0,123.0,224.0,1.0,7.0,19.0,23.0,33.0,False
