Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Harry Maguire;ENG;26;Manchester Utd;Premier League;Falsch;98;1;13;2403;1959;45;246;2127;0;1;0;0;0;0;0;1;55;2756;56000000;3420;2;0;10;1;0;28;240;1915;1500;31;1;90;44;99;27;14294;8411;11790;0.6;2;0;0
Gaston Pereiro;URU;24;Cagliari;Serie A;Falsch;9;0;6;138;159;3;0;92;0;0;0;3;0;0;0;1;0;149;8000000;348;0.8;0;5;0;0;3;53;128;1942;6;0;8;2;2;2;1178;804;367;0.3;0.8;0;0
Adam Marusic;MNE;26;Lazio;Serie A;Falsch;7;1;18;398;335;21;12;338;0;0;1;2;0;1;4;2;8;425;5500000;942;1.6;0;12;1;3;11;145;296;1577;16;1;41;15;23;8;1582;825;1562;0.5;1.6;0;0
Thibaut Vargas;FRA;19;Montpellier;Ligue 1;Falsch;2;0;4;65;55;2;3;46;0;0;0;0;0;0;1;0;0;74;250000;151;0;0;1;0;1;4;33;47;2579;4;0;6;1;1;0;344;172;236;0.1;0;0;0
Andy Delort;ALG;27;Montpellier;Ligue 1;Falsch;56;3;74;765;1344;22;11;451;0;0;2;9;2;11;10;9;7;1048;10500000;2280;9.3;1;31;3;3;48;347;837;648;80;8;103;32;39;20;4226;2286;1867;4.1;10.8;0;2
Riccardo Sottil;ITA;20;Fiorentina;Serie A;Falsch;10;0;21;206;300;9;0;160;0;0;0;4;0;4;4;0;0;287;3600000;514;0.7;0;19;0;2;12;72;235;2372;23;3;12;5;5;3;2183;1268;376;0.6;0.7;0;2
Lucas Deaux;FRA;30;Nîmes;Ligue 1;Falsch;81;1;20;688;549;25;44;539;0;0;0;1;0;1;2;2;10;859;1400000;1335;1.3;0;14;0;2;23;391;490;637;26;1;139;55;65;34;2683;1410;3396;0.8;1.3;0;0
Adrian Lopez;ESP;31;Osasuna;La Liga;Falsch;33;0;30;507;805;10;9;358;0;0;0;2;0;1;3;2;6;640;1400000;1443;1.8;0;15;0;2;38;184;524;1449;42;1;55;10;16;6;3398;2042;1125;2;2.6;0;1
Benjamin Andre;FRA;28;Lille;Ligue 1;Falsch;81;1;27;1239;1007;45;47;981;1;4;0;3;0;1;5;2;45;1499;8000000;2054;1;0;25;0;4;34;593;927;89;43;1;190;83;128;63;5145;2235;4174;1.1;1;0;0
Daniele Padelli;ITA;33;Inter;Serie A;Falsch;0;0;0;91;43;0;0;76;0;0;0;0;0;0;0;0;0;69;650000;270;0;0;0;0;0;0;0;43;1875;0;0;0;0;0;0;86;38;980;0;0;0;0
