,user_account,text,created_at
128,PsychicHealerC,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:18:59
129,PFF_Lindau,"RT @Kl_Stone: @Marlhog1 @Luisamneubauer @David_Koebel AKW`s die Atommüll verbrennen, gibt es bis jetzt nur in bunten Propagandabroschüren u…",2021-03-14 04:18:51
130,meiklwagner,RT @meiklwagner: You say something nice to me. That's cool. I say: #BlackLivesMatter #ClimateChange #SystemChange #NeueDeutscheHaerte by Go…,2021-03-14 04:17:54
131,meiklwagner,"RT @meiklwagner: Stop This Flame - Celeste, 2020, Polydor/Both Side/FP Music Records. On YouTube: https://t.co/i736qWpRg4 #Corona #Covid_19…",2021-03-14 04:17:16
132,ArchapinGT,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:16:01
133,kazo_oto,"RT @FridaysJapan: 【あと、6日！】
1週間をきりました...世界気候アクション0319！🦾👏🧤

みなさんアクションの準備はできていますか？
日本全国の企画一覧はこちらから
ご覧いいただけます！👇
https://t.co/K3BMbdLPjl https:/…",2021-03-14 04:09:52
134,AMANPRE17493657,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:07:53
135,judyjackson2086,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:07:37
136,tsuga_wilson,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:05:28
137,A12b3C4d_5,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:04:23
138,b3PzwZMXIGbxwKW,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:02:48
139,SteveSilent,"RT @FFFCanada: One week to go #March19. 
Apologies for typos &amp; missing info. 
Awesome to see strikes in the ""flyover"" parts of Canada. Nort…",2021-03-14 04:01:44
140,OurFutureBot,"RT @EMI_ny7hsc: 区画整理で新しい近未来まちづくりしたらいいと思う。
再エネのためには土地改変だ！山を削らなきゃできない！という考え方から、街の区画整理とかそういう方向へゆけないかな？
所有者との関係で時間かかる？
でも空き家問題も解決したいよね？
同時進行できな…",2021-03-14 04:01:24
141,OurFutureBot,"RT @EMI_ny7hsc: 世界中で大人気のポケモンの世界は多様性であふれています🌏
生物多様性がなかったら、ポケモンも生まれなかったかもしれない。
生物多様性は、世界中の素晴らしい文化も作り出しています。
未来とこの地球を守るために、持続可能な社会を創っていきたい。
#F…",2021-03-14 04:00:43
142,OurFutureBot,"RT @Dotti_Matrix: @welt Geliefert wie bestellt!  #87Prozent #wirschaffendas 
#wirhabenplatz
#MoriaCamp #RefugeesWelcome
#LeaveNoOneBehind
#…",2021-03-14 04:00:23
143,OurFutureBot,"RT @EMI_ny7hsc: 大地讃頌がトレンド入りしているので動画つけておきます🎶
懐かしいですね。
合唱コンクールの定番曲です🙌🏫
#FridaysForFuture
【合唱曲】大地讃頌 (混声四部合唱)【歌詞付き】 https://t.co/IimgLLOyaE @Yo…",2021-03-14 04:00:02
144,EMI_ny7hsc,"RT @EMI_ny7hsc: [地球のミライ] 温暖化は新フェーズへ | NHKスペシャル「2030 未来への分岐点」暴走する温暖化 “脱炭素”への挑戦 | SDGs | NHK https://t.co/cYS5RNXwRH 
#FridaysForFuture",2021-03-14 04:00:01
145,EMI_ny7hsc,"RT @EMI_ny7hsc: 大地讃頌がトレンド入りしているので動画つけておきます🎶
懐かしいですね。
合唱コンクールの定番曲です🙌🏫
#FridaysForFuture
【合唱曲】大地讃頌 (混声四部合唱)【歌詞付き】 https://t.co/IimgLLOyaE @Yo…",2021-03-14 03:57:58
146,Dotti_Matrix,"@welt Geliefert wie bestellt!  #87Prozent #wirschaffendas 
#wirhabenplatz
#MoriaCamp #RefugeesWelcome… https://t.co/DZhh3IlBDc",2021-03-14 03:57:58
147,EMI_ny7hsc,"RT @EMI_ny7hsc: 世界中で大人気のポケモンの世界は多様性であふれています🌏
生物多様性がなかったら、ポケモンも生まれなかったかもしれない。
生物多様性は、世界中の素晴らしい文化も作り出しています。
未来とこの地球を守るために、持続可能な社会を創っていきたい。
#F…",2021-03-14 03:57:56
148,Kulwind38418329,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 03:54:22
149,BeHappyandCivil,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 03:54:09
