Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Kingsley Coman,FRA,23,Bayern Munich,de Bundesliga,False,68,3,101,797,1057,17,4,611,0,1,0,8,499,2,4,10,4,2,1030,40000000,1505,4.2,0,65,0,0,8,61,287,844,545,76,0,2,92,23,25,15,6283,3982,2162,3.9,4.2
Wladimiro Falcone,ITA,24,Sampdoria,it Serie A,False,0,0,0,61,21,0,0,39,0,0,0,0,745,0,0,0,0,0,43,150000,180,0,0,0,0,0,0,0,1,21,811,0,0,0,0,0,0,0,104,33,567,0,0
Ivan Perisic,CRO,30,Bayern Munich,de Bundesliga,False,47,3,22,632,755,16,7,448,0,1,0,3,1842,0,1,8,4,11,746,17500000,1206,3.7,1,12,0,2,7,28,256,588,1955,40,0,4,87,22,33,16,3117,1769,2025,2.3,3.7
Bastian Badu,FRA,19,Montpellier,fr Ligue 1,False,0,0,0,6,12,0,0,6,0,0,0,0,148,0,0,0,0,0,7,350000,9,0,0,0,0,0,0,0,2,6,159,0,0,0,0,0,0,0,4,1,8,0,0
Geoffrey Kondogbia,CTA,26,Valencia,es La Liga,False,77,1,19,1114,942,41,59,945,0,0,0,1,1217,0,1,1,1,24,1339,22500000,1807,1,0,16,0,0,1,15,460,896,1298,18,0,1,131,66,90,47,5639,2608,4232,0.2,1
Jordan Siebatcheu,FRA,23,Rennes,fr Ligue 1,False,4,1,6,103,186,6,3,78,0,0,0,1,2164,0,0,2,0,1,165,3500000,440,1,1,6,0,0,1,9,105,113,2309,11,0,0,23,6,7,5,517,220,154,0.6,1
Andrea Conti,ITA,25,Milan,it Serie A,False,78,2,11,1060,763,36,43,888,0,1,0,0,503,0,0,2,0,27,1067,12000000,1725,0,0,10,0,3,2,21,335,740,549,25,0,0,80,53,80,31,4104,2349,6156,1.5,0
Jordan Marie,FRA,27,Dijon,fr Ligue 1,False,7,0,4,111,101,6,3,84,0,0,0,0,1455,0,0,0,0,5,134,800000,201,0,0,3,0,0,0,2,78,87,1549,2,0,0,31,6,11,5,384,175,496,0.4,0
Alfred Gomis,SEN,25,Dijon,fr Ligue 1,False,0,0,1,731,291,1,1,518,0,0,0,0,908,0,0,0,0,0,556,2400000,1619,0,0,1,0,0,0,4,6,291,980,4,0,0,0,0,0,0,1590,985,11479,0,0
Brandon Pierrick,ENG,17,Crystal Palace,eng Premier League,False,1,0,3,9,11,0,1,5,0,0,0,1,1865,0,0,0,0,0,16,0,15,0,0,2,0,0,0,1,1,8,1981,2,0,0,0,0,0,0,85,36,6,0.1,0
Pierre Kunde Malong,CMR,24,Mainz 05,de Bundesliga,False,92,0,53,1022,806,31,62,795,0,0,2,5,1254,0,1,4,4,22,1197,8000000,1866,3.1,0,45,0,1,2,24,339,751,1335,31,0,0,89,39,61,28,5697,3115,4427,1.8,3.1
Jordan Lukaku,BEL,25,Lazio,it Serie A,False,11,2,11,169,143,7,5,128,0,1,0,1,1385,0,0,2,0,0,176,4000000,396,0.1,0,6,0,1,2,12,55,125,1479,15,0,0,18,5,5,3,899,638,716,0.8,0.1
Eljif Elmas,MKD,19,Napoli,it Serie A,False,29,1,33,685,776,17,6,623,1,1,0,8,705,0,3,4,1,7,804,15500000,1134,1.9,1,28,0,0,2,31,250,660,766,46,0,2,69,16,23,10,3876,2064,1613,0.9,1.9
Andriy Yarmolenko,UKR,29,West Ham,eng Premier League,False,36,1,16,424,572,8,6,338,0,0,2,3,2506,0,1,6,5,3,533,9500000,991,2.1,0,10,0,1,4,29,167,418,2682,35,0,1,46,15,18,10,2368,1299,1379,2.7,2.1
Yann Sommer,SUI,30,M'Gladbach,de Bundesliga,False,1,0,1,1545,901,0,1,1270,0,0,0,0,2217,0,0,0,0,1,1270,9500000,3060,0,0,1,0,0,0,1,2,899,2366,1,0,0,0,0,1,0,4638,2279,17975,0,0
Neal Maupay,FRA,22,Brighton,eng Premier League,False,54,3,70,688,1440,31,7,540,0,1,1,7,1496,0,4,7,10,3,999,17500000,2766,10.1,0,36,0,0,6,51,703,763,1594,72,0,9,185,28,31,17,5008,2544,1457,2.4,11.6
Ruben Blanco,ESP,24,Celta Vigo,es La Liga,False,0,0,0,990,371,0,2,615,0,0,0,0,281,0,0,0,0,0,664,8000000,2960,0,0,0,0,0,0,1,2,369,305,1,0,0,1,0,0,0,2426,1332,13857,0,0
